State,Year,personal_income,GDP (in $),people_employed,Days with AQI,Good Days,Moderate Days,Unhealthy Days,Very Unhealthy Days,Max AQI,90th Percentile AQI,Median AQI,Chronic Respiratory Related POD (%)
New Mexico,2015,79130.8,90779.4,1092272,283.125,220.4375,61.5,1.1875,0.0,90.5,50.3125,32.125,3.013076680194977
New Mexico,2016,80782.3,90476.0,1092375,284.75,222.5,60.8125,1.375,0.0625,121.75,49.9375,32.25,2.95261647075283
New Mexico,2017,82354.1,93210.1,1095489,285.25,201.9375,78.875,4.25,0.1875,136.1875,56.8125,33.6875,2.9377572013942697
New Mexico,2018,86179.5,98838.2,1110587,285.625,192.375,85.8125,7.4375,0.0,110.1875,64.0625,35.6875,2.9165832778846963
New Mexico,2019,91208.9,103821.0,1116429,283.0625,203.5625,76.125,3.0625,0.3125,154.5625,55.4375,33.3125,2.8016318399091666
New Mexico,2020,98480.2,100656.4,1068784,285.25,213.5625,68.25,3.125,0.3125,129.5,55.0,33.8125,2.36116052316009
New York,2015,1137082.3,1498474.7,12099197,352.2413793103448,266.48275862068965,83.06896551724138,2.689655172413793,0.0,111.96551724137932,57.10344827586207,38.96551724137931,2.1215598870869035
New York,2016,1176654.7,1556830.0,12259166,351.7586206896552,283.62068965517244,65.0,3.1379310344827585,0.0,119.41379310344827,54.724137931034484,37.41379310344828,2.0911888500743268
New York,2017,1255776.7,1624800.7,12391361,350.9655172413793,289.55172413793105,59.827586206896555,1.5862068965517242,0.0,102.03448275862068,52.793103448275865,37.275862068965516,2.13184856184018
New York,2018,1298669.0,1710665.6,12655123,349.9642857142857,280.35714285714283,66.25,3.3214285714285716,0.03571428571428571,122.92857142857143,55.607142857142854,37.0,2.1351368686827366
New York,2019,1343851.2,1787470.9,12745397,334.82758620689657,283.37931034482756,50.689655172413794,0.7586206896551724,0.0,85.79310344827586,51.758620689655174,37.10344827586207,2.13652863301682
New York,2020,1415297.4,1773369.8,11871078,357.1111111111111,306.2962962962963,50.111111111111114,0.7037037037037037,0.0,91.92592592592592,51.925925925925924,36.0,1.715384313646756
Washington,2015,376360.8,467590.6,4199164,345.9310344827586,258.7586206896552,82.24137931034483,4.655172413793103,0.27586206896551724,166.06896551724137,60.13793103448276,33.793103448275865,2.7915293551830267
Washington,2016,397270.6,489790.2,4313722,348.7586206896552,291.0,56.793103448275865,0.9655172413793104,0.0,91.06896551724138,51.724137931034484,29.689655172413794,2.751771706970157
Washington,2017,423017.2,527169.4,4432271,346.0,254.16666666666666,81.6,9.333333333333334,0.9,195.33333333333334,64.86666666666666,32.93333333333333,2.728443217918093
Washington,2018,451609.2,570337.8,4537842,355.6,269.46666666666664,76.26666666666667,9.1,0.7666666666666667,216.26666666666668,62.06666666666667,31.666666666666668,2.6391618916426665
Washington,2019,484540.9,608643.4,4591912,353.48387096774195,278.35483870967744,74.54838709677419,0.5806451612903226,0.0,87.83870967741936,55.96774193548387,31.032258064516128,2.607897555513497
Washington,2020,522509.2,620132.9,4434976,345.3225806451613,280.258064516129,56.483870967741936,4.129032258064516,4.451612903225806,453.35483870967744,55.32258064516129,29.580645161290324,2.4292946764550836
